Age,Age_Band ,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,DistanceFromHome_Band,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,HourlyRate_Band,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyIncome_Band,MonthlyRate,NumCompaniesWorked,NumCompaniesWorked_Band,Over18,OverTime,PercentSalaryHike,PercentSalaryHike_Band,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TotalWorkingYears_Band,TrainingTimesLastYear,TrainingTimesLastYear_Band,WorkLifeBalance,YearsAtCompany,YearsAtCompany_Band,YearsInCurrentRole,YearsInCurrentRole_Band,YearsSinceLastPromotion,YearsSinceLastPromotion_Band,YearsWithCurrManager,YearsWithCurrManager_Band
35,31-40 yrs old,No,Travel_Rarely,809,Research & Development,16,11-20KM,3,Medical,1,14,1,Male,84,RM61-RM90,4,1,Laboratory Technician,2,Married,2426,RM0-RM5000,16479,0,0-2,Y,No,13,11-15%,3,3,80,1,6,4-6 years,5,3-5 hours,3,5,4-6 years,4,4-6 years,0,0-3 years,3,0-3 years
29,21-30 yrs old,No,Travel_Rarely,153,Research & Development,15,11-20KM,2,Life Sciences,1,15,4,Female,49,RM31-RM60,2,2,Laboratory Technician,3,Single,4193,RM0-RM5000,12682,0,0-2,Y,Yes,12,11-15%,3,4,80,0,10,>9 years,3,3-5 hours,3,9,7-9 years,5,4-6 years,0,0-3 years,8,7-9 years
31,31-40 yrs old,No,Travel_Rarely,670,Research & Development,26,>20KM,1,Life Sciences,1,16,1,Male,31,RM31-RM60,3,1,Research Scientist,3,Divorced,2911,RM0-RM5000,15170,1,0-2,Y,No,17,16-20%,3,4,80,1,5,4-6 years,1,0-2 hours,2,5,4-6 years,2,0-3 years,4,4-6 years,3,0-3 years
34,31-40 yrs old,No,Travel_Rarely,1346,Research & Development,19,11-20KM,2,Medical,1,18,2,Male,93,>RM90,3,1,Laboratory Technician,4,Divorced,2661,RM0-RM5000,8758,0,0-2,Y,No,11,11-15%,3,3,80,1,3,0-3 years,2,0-2 hours,3,2,0-3 years,2,0-3 years,1,0-3 years,2,0-3 years
28,21-30 yrs old,Yes,Travel_Rarely,103,Research & Development,24,>20KM,3,Life Sciences,1,19,3,Male,50,RM31-RM60,2,1,Laboratory Technician,3,Single,2028,RM0-RM5000,12947,5,3-5,Y,Yes,14,11-15%,3,2,80,0,6,4-6 years,4,3-5 hours,3,4,4-6 years,2,0-3 years,0,0-3 years,3,0-3 years
29,21-30 yrs old,No,Travel_Rarely,1389,Research & Development,21,>20KM,4,Life Sciences,1,20,2,Female,51,RM31-RM60,4,3,Manufacturing Director,1,Divorced,9980,RM5001-RM10000,10195,1,0-2,Y,No,11,11-15%,3,3,80,1,10,>9 years,1,0-2 hours,3,10,>9 years,9,7-9 years,8,7-9 years,8,7-9 years
32,31-40 yrs old,No,Travel_Rarely,334,Research & Development,5,0-10KM,2,Life Sciences,1,21,1,Male,80,RM61-RM90,4,1,Research Scientist,2,Divorced,3298,RM0-RM5000,15053,0,0-2,Y,Yes,12,11-15%,3,4,80,2,7,7-9 years,5,3-5 hours,2,6,4-6 years,2,0-3 years,0,0-3 years,5,4-6 years
22,21-30 yrs old,No,Non-Travel,1123,Research & Development,16,11-20KM,2,Medical,1,22,4,Male,96,>RM90,4,1,Laboratory Technician,4,Divorced,2935,RM0-RM5000,7324,1,0-2,Y,Yes,13,11-15%,3,2,80,2,1,0-3 years,2,0-2 hours,2,1,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
53,>50 yrs old,No,Travel_Rarely,1219,Sales,2,0-10KM,4,Life Sciences,1,23,1,Female,78,RM61-RM90,2,4,Manager,4,Married,15427,>RM15000,22021,2,0-2,Y,No,16,16-20%,3,3,80,0,31,>9 years,3,3-5 hours,3,25,>9 years,8,7-9 years,3,0-3 years,7,7-9 years
38,31-40 yrs old,No,Travel_Rarely,371,Research & Development,2,0-10KM,3,Life Sciences,1,24,4,Male,45,RM31-RM60,3,1,Research Scientist,4,Single,3944,RM0-RM5000,4306,5,3-5,Y,Yes,11,11-15%,3,3,80,0,6,4-6 years,3,3-5 hours,3,3,0-3 years,2,0-3 years,1,0-3 years,2,0-3 years
24,21-30 yrs old,No,Non-Travel,673,Research & Development,11,11-20KM,2,Other,1,26,1,Female,96,>RM90,4,2,Manufacturing Director,3,Divorced,4011,RM0-RM5000,8232,0,0-2,Y,No,18,16-20%,3,4,80,1,5,4-6 years,5,3-5 hours,2,4,4-6 years,2,0-3 years,1,0-3 years,3,0-3 years
36,31-40 yrs old,Yes,Travel_Rarely,1218,Sales,9,0-10KM,4,Life Sciences,1,27,3,Male,82,RM61-RM90,2,1,Sales Representative,1,Single,3407,RM0-RM5000,6986,7,>5,Y,No,23,>20%,4,2,80,0,10,>9 years,4,3-5 hours,3,5,4-6 years,3,0-3 years,0,0-3 years,3,0-3 years
34,31-40 yrs old,No,Travel_Rarely,419,Research & Development,7,0-10KM,4,Life Sciences,1,28,1,Female,53,RM31-RM60,3,3,Research Director,2,Single,11994,RM10001-RM15000,21293,0,0-2,Y,No,11,11-15%,3,3,80,0,13,>9 years,4,3-5 hours,3,12,>9 years,6,4-6 years,2,0-3 years,11,>9 years
21,21-30 yrs old,No,Travel_Rarely,391,Research & Development,15,11-20KM,2,Life Sciences,1,30,3,Male,96,>RM90,3,1,Research Scientist,4,Single,1232,RM0-RM5000,19281,1,0-2,Y,No,14,11-15%,3,4,80,0,0,0-3 years,6,>5 hours,3,0,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
34,31-40 yrs old,Yes,Travel_Rarely,699,Research & Development,6,0-10KM,1,Medical,1,31,2,Male,83,RM61-RM90,3,1,Research Scientist,1,Single,2960,RM0-RM5000,17102,2,0-2,Y,No,11,11-15%,3,3,80,0,8,7-9 years,2,0-2 hours,3,4,4-6 years,2,0-3 years,1,0-3 years,3,0-3 years
53,>50 yrs old,No,Travel_Rarely,1282,Research & Development,5,0-10KM,3,Other,1,32,3,Female,58,RM31-RM60,3,5,Manager,3,Divorced,19094,>RM15000,10735,4,3-5,Y,No,11,11-15%,3,4,80,1,26,>9 years,3,3-5 hours,2,14,>9 years,13,>9 years,4,4-6 years,8,7-9 years
32,31-40 yrs old,Yes,Travel_Frequently,1125,Research & Development,16,11-20KM,1,Life Sciences,1,33,2,Female,72,RM61-RM90,1,1,Research Scientist,1,Single,3919,RM0-RM5000,4681,1,0-2,Y,Yes,22,>20%,4,2,80,0,10,>9 years,5,3-5 hours,3,10,>9 years,2,0-3 years,6,4-6 years,7,7-9 years
42,41-50 yrs old,No,Travel_Rarely,691,Sales,8,0-10KM,4,Marketing,1,35,3,Male,48,RM31-RM60,3,2,Sales Executive,2,Married,6825,RM5001-RM10000,21173,0,0-2,Y,No,11,11-15%,3,4,80,1,10,>9 years,2,0-2 hours,3,9,7-9 years,7,7-9 years,4,4-6 years,2,0-3 years
44,41-50 yrs old,No,Travel_Rarely,477,Research & Development,7,0-10KM,4,Medical,1,36,1,Female,42,RM31-RM60,2,3,Healthcare Representative,4,Married,10248,RM10001-RM15000,2094,3,3-5,Y,No,14,11-15%,3,4,80,1,24,>9 years,4,3-5 hours,3,22,>9 years,6,4-6 years,5,4-6 years,17,>9 years
46,41-50 yrs old,No,Travel_Rarely,705,Sales,2,0-10KM,4,Marketing,1,38,2,Female,83,RM61-RM90,3,5,Manager,1,Single,18947,>RM15000,22822,3,3-5,Y,No,12,11-15%,3,4,80,0,22,>9 years,2,0-2 hours,2,2,0-3 years,2,0-3 years,2,0-3 years,1,0-3 years
33,31-40 yrs old,No,Travel_Rarely,924,Research & Development,2,0-10KM,3,Medical,1,39,3,Male,78,RM61-RM90,3,1,Laboratory Technician,4,Single,2496,RM0-RM5000,6670,4,3-5,Y,No,11,11-15%,3,4,80,0,7,7-9 years,3,3-5 hours,3,1,0-3 years,1,0-3 years,0,0-3 years,0,0-3 years
44,41-50 yrs old,No,Travel_Rarely,1459,Research & Development,10,0-10KM,4,Other,1,40,4,Male,41,RM31-RM60,3,2,Healthcare Representative,4,Married,6465,RM5001-RM10000,19121,2,0-2,Y,Yes,13,11-15%,3,4,80,0,9,7-9 years,5,3-5 hours,4,4,4-6 years,2,0-3 years,1,0-3 years,3,0-3 years
30,21-30 yrs old,No,Travel_Rarely,125,Research & Development,9,0-10KM,2,Medical,1,41,4,Male,83,RM61-RM90,2,1,Laboratory Technician,3,Single,2206,RM0-RM5000,16117,1,0-2,Y,No,13,11-15%,3,1,80,0,10,>9 years,5,3-5 hours,3,10,>9 years,0,0-3 years,1,0-3 years,8,7-9 years
39,31-40 yrs old,Yes,Travel_Rarely,895,Sales,5,0-10KM,3,Technical Degree,1,42,4,Male,56,RM31-RM60,3,2,Sales Representative,4,Married,2086,RM0-RM5000,3335,3,3-5,Y,No,14,11-15%,3,3,80,1,19,>9 years,6,>5 hours,4,1,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
24,21-30 yrs old,Yes,Travel_Rarely,813,Research & Development,1,0-10KM,3,Medical,1,45,2,Male,61,RM61-RM90,3,1,Research Scientist,4,Married,2293,RM0-RM5000,3020,2,0-2,Y,Yes,16,16-20%,3,1,80,1,6,4-6 years,2,0-2 hours,2,2,0-3 years,0,0-3 years,2,0-3 years,0,0-3 years
43,41-50 yrs old,No,Travel_Rarely,1273,Research & Development,2,0-10KM,2,Medical,1,46,4,Female,72,RM61-RM90,4,1,Research Scientist,3,Divorced,2645,RM0-RM5000,21923,1,0-2,Y,No,12,11-15%,3,4,80,2,6,4-6 years,3,3-5 hours,2,5,4-6 years,3,0-3 years,1,0-3 years,4,4-6 years
50,41-50 yrs old,Yes,Travel_Rarely,869,Sales,3,0-10KM,2,Marketing,1,47,1,Male,86,RM61-RM90,2,1,Sales Representative,3,Married,2683,RM0-RM5000,3810,1,0-2,Y,Yes,14,11-15%,3,3,80,0,3,0-3 years,2,0-2 hours,3,3,0-3 years,2,0-3 years,0,0-3 years,2,0-3 years
35,31-40 yrs old,No,Travel_Rarely,890,Sales,2,0-10KM,3,Marketing,1,49,4,Female,97,>RM90,3,1,Sales Representative,4,Married,2014,RM0-RM5000,9687,1,0-2,Y,No,13,11-15%,3,1,80,0,2,0-3 years,3,3-5 hours,3,2,0-3 years,2,0-3 years,2,0-3 years,2,0-3 years
36,31-40 yrs old,No,Travel_Rarely,852,Research & Development,5,0-10KM,4,Life Sciences,1,51,2,Female,82,RM61-RM90,2,1,Research Scientist,1,Married,3419,RM0-RM5000,13072,9,>5,Y,Yes,14,11-15%,3,4,80,1,6,4-6 years,3,3-5 hours,4,1,0-3 years,1,0-3 years,0,0-3 years,0,0-3 years
33,31-40 yrs old,No,Travel_Frequently,1141,Sales,1,0-10KM,3,Life Sciences,1,52,3,Female,42,RM31-RM60,4,2,Sales Executive,1,Married,5376,RM5001-RM10000,3193,2,0-2,Y,No,19,16-20%,3,1,80,2,10,>9 years,3,3-5 hours,3,5,4-6 years,3,0-3 years,1,0-3 years,3,0-3 years
35,31-40 yrs old,No,Travel_Rarely,464,Research & Development,4,0-10KM,2,Other,1,53,3,Male,75,RM61-RM90,3,1,Laboratory Technician,4,Divorced,1951,RM0-RM5000,10910,1,0-2,Y,No,12,11-15%,3,3,80,1,1,0-3 years,3,3-5 hours,3,1,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
27,21-30 yrs old,No,Travel_Rarely,1240,Research & Development,2,0-10KM,4,Life Sciences,1,54,4,Female,33,RM31-RM60,3,1,Laboratory Technician,1,Divorced,2341,RM0-RM5000,19715,1,0-2,Y,No,13,11-15%,3,4,80,1,1,0-3 years,6,>5 hours,3,1,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
26,21-30 yrs old,Yes,Travel_Rarely,1357,Research & Development,25,>20KM,3,Life Sciences,1,55,1,Male,48,RM31-RM60,1,1,Laboratory Technician,3,Single,2293,RM0-RM5000,10558,1,0-2,Y,No,12,11-15%,3,3,80,0,1,0-3 years,2,0-2 hours,2,1,0-3 years,0,0-3 years,0,0-3 years,1,0-3 years
27,21-30 yrs old,No,Travel_Frequently,994,Sales,8,0-10KM,3,Life Sciences,1,56,4,Male,37,RM31-RM60,3,3,Sales Executive,3,Single,8726,RM5001-RM10000,2975,1,0-2,Y,No,15,11-15%,3,4,80,0,9,7-9 years,0,0-2 hours,3,9,7-9 years,8,7-9 years,1,0-3 years,7,7-9 years
30,21-30 yrs old,No,Travel_Frequently,721,Research & Development,1,0-10KM,2,Medical,1,57,3,Female,58,RM31-RM60,3,2,Laboratory Technician,4,Single,4011,RM0-RM5000,10781,1,0-2,Y,No,23,>20%,4,4,80,0,12,>9 years,2,0-2 hours,3,12,>9 years,8,7-9 years,3,0-3 years,7,7-9 years
41,41-50 yrs old,Yes,Travel_Rarely,1360,Research & Development,12,11-20KM,3,Technical Degree,1,58,2,Female,49,RM31-RM60,3,5,Research Director,3,Married,19545,>RM15000,16280,1,0-2,Y,No,12,11-15%,3,4,80,0,23,>9 years,0,0-2 hours,3,22,>9 years,15,>9 years,15,>9 years,8,7-9 years
34,31-40 yrs old,No,Non-Travel,1065,Sales,23,>20KM,4,Marketing,1,60,2,Male,72,RM61-RM90,3,2,Sales Executive,3,Single,4568,RM0-RM5000,10034,0,0-2,Y,No,20,16-20%,4,3,80,0,10,>9 years,2,0-2 hours,3,9,7-9 years,5,4-6 years,8,7-9 years,7,7-9 years
37,31-40 yrs old,No,Travel_Rarely,408,Research & Development,19,11-20KM,2,Life Sciences,1,61,2,Male,73,RM61-RM90,3,1,Research Scientist,2,Married,3022,RM0-RM5000,10227,4,3-5,Y,No,21,>20%,4,1,80,0,8,7-9 years,1,0-2 hours,3,1,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
46,41-50 yrs old,No,Travel_Frequently,1211,Sales,5,0-10KM,4,Marketing,1,62,1,Male,98,>RM90,3,2,Sales Executive,4,Single,5772,RM5001-RM10000,20445,4,3-5,Y,Yes,21,>20%,4,3,80,0,14,>9 years,4,3-5 hours,3,9,7-9 years,6,4-6 years,0,0-3 years,8,7-9 years
35,31-40 yrs old,No,Travel_Rarely,1229,Research & Development,8,0-10KM,1,Life Sciences,1,63,4,Male,36,RM31-RM60,4,1,Laboratory Technician,4,Married,2269,RM0-RM5000,4892,1,0-2,Y,No,19,16-20%,3,4,80,0,1,0-3 years,2,0-2 hours,3,1,0-3 years,0,0-3 years,0,0-3 years,1,0-3 years
48,41-50 yrs old,Yes,Travel_Rarely,626,Research & Development,1,0-10KM,2,Life Sciences,1,64,1,Male,98,>RM90,2,3,Laboratory Technician,3,Single,5381,RM5001-RM10000,19294,9,>5,Y,Yes,13,11-15%,3,4,80,0,23,>9 years,2,0-2 hours,3,1,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
28,21-30 yrs old,Yes,Travel_Rarely,1434,Research & Development,5,0-10KM,4,Technical Degree,1,65,3,Male,50,RM31-RM60,3,1,Laboratory Technician,3,Single,3441,RM0-RM5000,11179,1,0-2,Y,Yes,13,11-15%,3,3,80,0,2,0-3 years,3,3-5 hours,2,2,0-3 years,2,0-3 years,2,0-3 years,2,0-3 years
44,41-50 yrs old,No,Travel_Rarely,1488,Sales,1,0-10KM,5,Marketing,1,68,2,Female,75,RM61-RM90,3,2,Sales Executive,1,Divorced,5454,RM5001-RM10000,4009,5,3-5,Y,Yes,21,>20%,4,3,80,1,9,7-9 years,2,0-2 hours,2,4,4-6 years,3,0-3 years,1,0-3 years,3,0-3 years
35,31-40 yrs old,No,Non-Travel,1097,Research & Development,11,11-20KM,2,Medical,1,70,3,Male,79,RM61-RM90,2,3,Healthcare Representative,1,Married,9884,RM5001-RM10000,8302,2,0-2,Y,Yes,13,11-15%,3,3,80,1,10,>9 years,3,3-5 hours,3,4,4-6 years,0,0-3 years,2,0-3 years,3,0-3 years
26,21-30 yrs old,No,Travel_Rarely,1443,Sales,23,>20KM,3,Marketing,1,72,3,Female,47,RM31-RM60,2,2,Sales Executive,4,Married,4157,RM0-RM5000,21436,7,>5,Y,Yes,19,16-20%,3,3,80,1,5,4-6 years,2,0-2 hours,2,2,0-3 years,2,0-3 years,0,0-3 years,0,0-3 years
33,31-40 yrs old,No,Travel_Frequently,515,Research & Development,1,0-10KM,2,Life Sciences,1,73,1,Female,98,>RM90,3,3,Research Director,4,Single,13458,RM10001-RM15000,15146,1,0-2,Y,Yes,12,11-15%,3,3,80,0,15,>9 years,1,0-2 hours,3,15,>9 years,14,>9 years,8,7-9 years,12,>9 years
35,31-40 yrs old,No,Travel_Frequently,853,Sales,18,11-20KM,5,Life Sciences,1,74,2,Male,71,RM61-RM90,3,3,Sales Executive,1,Married,9069,RM5001-RM10000,11031,1,0-2,Y,No,22,>20%,4,4,80,1,9,7-9 years,3,3-5 hours,2,9,7-9 years,8,7-9 years,1,0-3 years,8,7-9 years
35,31-40 yrs old,No,Travel_Rarely,1142,Research & Development,23,>20KM,4,Medical,1,75,3,Female,30,RM0-RM30,3,1,Laboratory Technician,1,Married,4014,RM0-RM5000,16002,3,3-5,Y,Yes,15,11-15%,3,3,80,1,4,4-6 years,3,3-5 hours,3,2,0-3 years,2,0-3 years,2,0-3 years,2,0-3 years
31,31-40 yrs old,No,Travel_Rarely,655,Research & Development,7,0-10KM,4,Life Sciences,1,76,4,Male,48,RM31-RM60,3,2,Laboratory Technician,4,Divorced,5915,RM5001-RM10000,9528,3,3-5,Y,No,22,>20%,4,4,80,1,10,>9 years,3,3-5 hours,2,7,7-9 years,7,7-9 years,1,0-3 years,7,7-9 years
37,31-40 yrs old,No,Travel_Rarely,1115,Research & Development,1,0-10KM,4,Life Sciences,1,77,1,Male,51,RM31-RM60,2,2,Manufacturing Director,3,Divorced,5993,RM5001-RM10000,2689,1,0-2,Y,No,18,16-20%,3,3,80,1,7,7-9 years,2,0-2 hours,4,7,7-9 years,5,4-6 years,0,0-3 years,7,7-9 years
32,31-40 yrs old,No,Travel_Rarely,427,Research & Development,1,0-10KM,3,Medical,1,78,1,Male,33,RM31-RM60,3,2,Manufacturing Director,4,Married,6162,RM5001-RM10000,10877,1,0-2,Y,Yes,22,>20%,4,2,80,1,9,7-9 years,3,3-5 hours,3,9,7-9 years,8,7-9 years,7,7-9 years,8,7-9 years
38,31-40 yrs old,No,Travel_Frequently,653,Research & Development,29,>20KM,5,Life Sciences,1,79,4,Female,50,RM31-RM60,3,2,Laboratory Technician,4,Single,2406,RM0-RM5000,5456,1,0-2,Y,No,11,11-15%,3,4,80,0,10,>9 years,2,0-2 hours,3,10,>9 years,3,0-3 years,9,7-9 years,9,7-9 years
50,41-50 yrs old,No,Travel_Rarely,989,Research & Development,7,0-10KM,2,Medical,1,80,2,Female,43,RM31-RM60,2,5,Research Director,3,Divorced,18740,>RM15000,16701,5,3-5,Y,Yes,12,11-15%,3,4,80,1,29,>9 years,2,0-2 hours,2,27,>9 years,3,0-3 years,13,>9 years,8,7-9 years
59,>50 yrs old,No,Travel_Rarely,1435,Sales,25,>20KM,3,Life Sciences,1,81,1,Female,99,>RM90,3,3,Sales Executive,1,Single,7637,RM5001-RM10000,2354,7,>5,Y,No,11,11-15%,3,4,80,0,28,>9 years,3,3-5 hours,2,21,>9 years,16,>9 years,7,7-9 years,9,7-9 years
36,31-40 yrs old,No,Travel_Rarely,1223,Research & Development,8,0-10KM,3,Technical Degree,1,83,3,Female,59,RM31-RM60,3,3,Healthcare Representative,3,Divorced,10096,RM10001-RM15000,8202,1,0-2,Y,No,13,11-15%,3,2,80,3,17,>9 years,2,0-2 hours,3,17,>9 years,14,>9 years,12,>9 years,8,7-9 years
55,>50 yrs old,No,Travel_Rarely,836,Research & Development,8,0-10KM,3,Medical,1,84,4,Female,33,RM31-RM60,3,4,Manager,3,Divorced,14756,RM10001-RM15000,19730,2,0-2,Y,Yes,14,11-15%,3,3,80,3,21,>9 years,2,0-2 hours,3,5,4-6 years,0,0-3 years,0,0-3 years,2,0-3 years
36,31-40 yrs old,No,Travel_Frequently,1195,Research & Development,11,11-20KM,3,Life Sciences,1,85,2,Male,95,>RM90,2,2,Manufacturing Director,2,Single,6499,RM5001-RM10000,22656,1,0-2,Y,No,13,11-15%,3,3,80,0,6,4-6 years,3,3-5 hours,3,6,4-6 years,5,4-6 years,0,0-3 years,3,0-3 years
45,41-50 yrs old,No,Travel_Rarely,1339,Research & Development,7,0-10KM,3,Life Sciences,1,86,2,Male,59,RM31-RM60,3,3,Research Scientist,1,Divorced,9724,RM5001-RM10000,18787,2,0-2,Y,No,17,16-20%,3,3,80,1,25,>9 years,2,0-2 hours,3,1,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
35,31-40 yrs old,No,Travel_Frequently,664,Research & Development,1,0-10KM,3,Medical,1,88,2,Male,79,RM61-RM90,3,1,Research Scientist,1,Married,2194,RM0-RM5000,5868,4,3-5,Y,No,13,11-15%,3,4,80,1,5,4-6 years,2,0-2 hours,2,3,0-3 years,2,0-3 years,1,0-3 years,2,0-3 years
36,31-40 yrs old,Yes,Travel_Rarely,318,Research & Development,9,0-10KM,3,Medical,1,90,4,Male,79,RM61-RM90,2,1,Research Scientist,3,Married,3388,RM0-RM5000,21777,0,0-2,Y,Yes,17,16-20%,3,1,80,1,2,0-3 years,0,0-2 hours,2,1,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
59,>50 yrs old,No,Travel_Frequently,1225,Sales,1,0-10KM,1,Life Sciences,1,91,1,Female,57,RM31-RM60,2,2,Sales Executive,3,Single,5473,RM5001-RM10000,24668,7,>5,Y,No,11,11-15%,3,4,80,0,20,>9 years,2,0-2 hours,2,4,4-6 years,3,0-3 years,1,0-3 years,3,0-3 years
29,21-30 yrs old,No,Travel_Rarely,1328,Research & Development,2,0-10KM,3,Life Sciences,1,94,3,Male,76,RM61-RM90,3,1,Research Scientist,2,Married,2703,RM0-RM5000,4956,0,0-2,Y,No,23,>20%,4,4,80,1,6,4-6 years,3,3-5 hours,3,5,4-6 years,4,4-6 years,0,0-3 years,4,4-6 years
31,31-40 yrs old,No,Travel_Rarely,1082,Research & Development,1,0-10KM,4,Medical,1,95,3,Male,87,RM61-RM90,3,1,Research Scientist,2,Single,2501,RM0-RM5000,18775,1,0-2,Y,No,17,16-20%,3,2,80,0,1,0-3 years,4,3-5 hours,3,1,0-3 years,1,0-3 years,1,0-3 years,0,0-3 years
32,31-40 yrs old,No,Travel_Rarely,548,Research & Development,1,0-10KM,3,Life Sciences,1,96,2,Male,66,RM61-RM90,3,2,Research Scientist,2,Married,6220,RM5001-RM10000,7346,1,0-2,Y,No,17,16-20%,3,2,80,2,10,>9 years,3,3-5 hours,3,10,>9 years,4,4-6 years,0,0-3 years,9,7-9 years
36,31-40 yrs old,No,Travel_Rarely,132,Research & Development,6,0-10KM,3,Life Sciences,1,97,2,Female,55,RM31-RM60,4,1,Laboratory Technician,4,Married,3038,RM0-RM5000,22002,3,3-5,Y,No,12,11-15%,3,2,80,0,5,4-6 years,3,3-5 hours,3,1,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
